"ts_created","items","store_id","payment_R$","type","store_type"
2022-12-10 13:27:48.768 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2595"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3450"", ""amount"": 1}]",6,60,t,Comanda
2022-12-10 13:54:57.722 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4950"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3285"", ""amount"": 1}, {""name"": ""REFRI LITRO"", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,90,t,Comanda
2022-12-10 13:54:59.605 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4950"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3285"", ""amount"": 1}, {""name"": ""REFRI LITRO"", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,90,t,Comanda
2022-12-12 13:36:42.255 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2460"", ""amount"": 1}, {""name"": ""SUCO FRUTAS 400 ML"", ""extra"": [], ""value"": ""500"", ""amount"": 1.0}]",6,29,t,Comanda
2022-12-12 14:43:16.640 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3585"", ""amount"": 1}, {""name"": ""REFRI LITRO"", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,43,t,Comanda
2022-12-12 14:48:12.533 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3315"", ""amount"": 1}, {""name"": ""SUCO LARANJA 400ML"", ""extra"": [], ""value"": ""500"", ""amount"": 1.0}]",6,38,t,Comanda
2022-12-13 11:36:47.832 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4230"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""5790"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""5505"", ""amount"": 1}, {""name"": ""REFRI KS"", ""extra"": [], ""value"": ""1350"", ""amount"": 3.0}]",6,168,t,Comanda
2022-12-13 11:47:38.498 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""5565"", ""amount"": 1}, {""name"": ""REFRI LATA"", ""extra"": [], ""value"": ""500"", ""amount"": 1.0}]",6,60,t,Comanda
2022-12-13 13:28:01.702 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4140"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""6930"", ""amount"": 1}, {""name"": ""EMBALAGEM MARMITA"", ""extra"": [], ""value"": ""100"", ""amount"": 1.0}, {""name"": ""CERVEJA DEVASSA GARRAFA"", ""extra"": [], ""value"": ""2000"", ""amount"": 2.0}]",6,131,t,Comanda
2022-12-13 13:33:28.031 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3254"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""5234"", ""amount"": 1}, {""name"": ""REFRI LITRO"", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,92,t,Comanda
2022-12-13 14:28:44.183 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4425"", ""amount"": 1}, {""name"": ""SUCO FRUTAS 400 ML"", ""extra"": [], ""value"": ""500"", ""amount"": 1.0}]",6,49,t,Comanda
2022-12-13 15:22:15.977 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3779"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4620"", ""amount"": 1}, {""name"": ""REFRI LATA"", ""extra"": [], ""value"": ""500"", ""amount"": 1.0}]",6,89,t,Comanda
2022-12-14 12:42:18.179 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4650"", ""amount"": 1}, {""name"": ""REFRI LATA"", ""extra"": [], ""value"": ""500"", ""amount"": 1.0}]",6,51,t,Comanda
2022-12-14 13:50:20.279 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3405"", ""amount"": 1}, {""name"": ""SCHWEPPES CITRUS"", ""extra"": [], ""value"": ""600"", ""amount"": 1.0}]",6,40,t,Comanda
2022-12-14 13:50:57.334 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3135"", ""amount"": 1}, {""name"": ""SALMAO KG"", ""extra"": [], ""value"": ""2016"", ""amount"": 1}]",6,51,t,Comanda
2022-12-14 14:50:31.156 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4365"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""1875"", ""amount"": 1}, {""name"": ""REFRI LATA"", ""extra"": [], ""value"": ""1000"", ""amount"": 2.0}]",6,72,t,Comanda
2022-12-15 13:06:22.055 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3960"", ""amount"": 1}]",6,39,t,Comanda
2022-12-15 13:10:01.396 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""1440"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""944"", ""amount"": 1}, {""name"": ""RERI MINI"", ""extra"": [], ""value"": ""400"", ""amount"": 1.0}]",6,27,t,Comanda
2022-12-15 13:16:11.051 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2970"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""1814"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3990"", ""amount"": 1}, {""name"": ""SUCO LARANJA JARRA "", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,95,t,Comanda
2022-12-15 13:22:43.718 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2850"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2325"", ""amount"": 1}, {""name"": ""REFRI LATA"", ""extra"": [], ""value"": ""500"", ""amount"": 1.0}]",6,56,t,Comanda
2022-12-15 13:54:59.882 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3779"", ""amount"": 1}]",6,37,t,Comanda
2022-12-15 14:02:12.996 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4785"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2895"", ""amount"": 1}, {""name"": ""SUCO FRUTAS JARRA "", ""extra"": [], ""value"": ""1000"", ""amount"": 1.0}]",6,86,t,Comanda
2022-12-15 14:03:49.936 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4785"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2895"", ""amount"": 1}, {""name"": ""SUCO FRUTAS JARRA "", ""extra"": [], ""value"": ""1000"", ""amount"": 1.0}]",6,86,t,Comanda
